route_id,school_id,school_name,bus_id,driver_id,date,year,month,day,day_of_week,is_weekend,season,hour,minute,is_peak_hour,num_stops,total_distance_km,total_students,students_per_stop,avg_distance_per_stop,route_zone,route_complexity_score,road_type,road_quality_score,traffic_conditions,weather,temperature_celsius,driver_experience_years,driver_age,bus_age_years,bus_capacity,bus_maintenance_score,occupancy_rate,school_lat,school_lon,avg_stop_lat,avg_stop_lon,total_time_minutes,avg_speed_kmh,time_per_stop_minutes,time_per_km_minutes
ROUTE_00011,SCH_003,Private School C,BUS_001,DRV_019,2024-02-19,2024,2,19,0,0,winter,7,31,1,13,170.271,50,3.85,13.098,Zone_B,100.0,main_road,4.17,heavy,cloudy,28.4,13,35,7,50,2.89,1.0,3.2,101.65,3.2005,101.7039,798.62,12.79,61.43,4.69
ROUTE_00012,SCH_003,Private School C,BUS_023,DRV_001,2024-11-11,2024,11,11,0,0,monsoon,6,32,1,5,67.448,41,8.2,13.49,Zone_C,100.0,local_road,2.96,congested,cloudy,24.8,12,37,5,50,4.46,0.82,3.2,101.65,3.138,101.7358,624.92,6.48,124.98,9.27
ROUTE_00013,SCH_003,Private School C,BUS_029,DRV_025,2024-09-27,2024,9,27,4,0,monsoon,6,57,1,13,159.805,50,3.85,12.293,Zone_D,100.0,main_road,4.24,moderate,storm,29.8,2,49,5,50,2.94,1.0,3.2,101.65,3.1857,101.6864,1145.16,8.37,88.09,7.17
ROUTE_00014,SCH_001,International School A,BUS_019,DRV_019,2024-01-25,2024,1,25,3,0,winter,6,33,1,12,166.28,50,4.17,13.857,Zone_E,100.0,local_road,3.47,moderate,storm,29.8,7,52,10,50,3.24,1.0,3.15,101.68,3.1694,101.6821,1562.14,6.39,130.18,9.39
ROUTE_00015,SCH_003,Private School C,BUS_005,DRV_006,2024-12-17,2024,12,17,1,0,winter,5,9,0,10,158.796,50,5.0,15.88,Zone_A,100.0,local_road,4.4,light,cloudy,28.7,24,43,9,50,3.1,1.0,3.2,101.65,3.1669,101.6969,504.51,18.89,50.45,3.18
ROUTE_00016,SCH_002,National School B,BUS_018,DRV_012,2024-10-19,2024,10,19,5,1,monsoon,6,53,1,12,137.97,50,4.17,11.498,Zone_B,100.0,local_road,2.98,moderate,cloudy,32.5,9,57,4,50,2.68,1.0,3.12,101.7,3.1435,101.6917,720.54,11.49,60.05,5.22
ROUTE_00017,SCH_001,International School A,BUS_010,DRV_019,2024-10-15,2024,10,15,1,0,monsoon,6,33,1,16,199.108,50,3.12,12.444,Zone_C,100.0,highway,4.35,congested,clear,31.7,14,27,2,50,4.41,1.0,3.15,101.68,3.1723,101.699,746.44,16.0,46.65,3.75
ROUTE_00018,SCH_001,International School A,BUS_024,DRV_035,2024-05-03,2024,5,3,4,0,spring,7,59,1,7,100.239,50,7.14,14.32,Zone_D,100.0,main_road,4.93,moderate,clear,25.8,16,44,0,50,3.55,1.0,3.15,101.68,3.1422,101.6788,283.91,21.18,40.56,2.83
ROUTE_00019,SCH_001,International School A,BUS_010,DRV_023,2024-07-08,2024,7,8,0,0,summer,7,19,1,16,226.772,50,3.12,14.173,Zone_E,100.0,residential,3.69,moderate,clear,30.5,19,27,1,50,2.78,1.0,3.15,101.68,3.1559,101.7178,1103.65,12.33,68.98,4.87
ROUTE_00020,SCH_001,International School A,BUS_013,DRV_038,2024-05-18,2024,5,18,5,1,spring,6,50,1,5,42.953,42,8.4,8.591,Zone_A,100.0,residential,3.6,heavy,light_rain,24.6,3,29,14,50,3.88,0.84,3.15,101.68,3.1639,101.7387,397.15,6.49,79.43,9.25
ROUTE_00021,SCH_001,International School A,BUS_030,DRV_024,2024-01-22,2024,1,22,0,0,winter,6,42,1,7,104.126,50,7.14,14.875,Zone_B,100.0,local_road,2.68,heavy,clear,27.7,15,46,14,50,2.36,1.0,3.15,101.68,3.1492,101.708,777.25,8.04,111.04,7.46
ROUTE_00022,SCH_003,Private School C,BUS_018,DRV_041,2024-12-19,2024,12,19,3,0,winter,7,40,1,16,202.3,50,3.12,12.644,Zone_C,100.0,highway,4.22,heavy,heavy_rain,26.0,11,57,5,50,3.59,1.0,3.2,101.65,3.1836,101.7158,1033.05,11.75,64.57,5.11
ROUTE_00023,SCH_003,Private School C,BUS_025,DRV_011,2024-02-15,2024,2,15,3,0,winter,5,37,0,18,240.167,50,2.78,13.343,Zone_D,100.0,local_road,4.27,free_flow,cloudy,26.7,10,46,0,50,3.8,1.0,3.2,101.65,3.1886,101.7271,718.02,20.07,39.89,2.99
ROUTE_00024,SCH_001,International School A,BUS_022,DRV_033,2024-08-28,2024,8,28,2,0,summer,6,24,1,7,88.249,50,7.14,12.607,Zone_E,100.0,local_road,3.34,heavy,clear,28.7,18,43,4,50,2.22,1.0,3.15,101.68,3.2259,101.7116,533.57,9.92,76.22,6.05
ROUTE_00025,SCH_003,Private School C,BUS_016,DRV_003,2024-03-24,2024,3,24,6,1,spring,6,14,1,11,144.155,50,4.55,13.105,Zone_A,100.0,main_road,3.18,light,clear,28.1,1,35,1,50,3.12,1.0,3.2,101.65,3.1455,101.6918,322.36,26.83,29.31,2.24
ROUTE_00026,SCH_001,International School A,BUS_012,DRV_042,2024-11-14,2024,11,14,3,0,monsoon,6,45,1,7,75.42,50,7.14,10.774,Zone_B,100.0,main_road,3.88,moderate,clear,31.7,23,41,6,50,3.39,1.0,3.15,101.68,3.1921,101.7174,245.24,18.45,35.03,3.25
ROUTE_00027,SCH_003,Private School C,BUS_030,DRV_011,2024-05-20,2024,5,20,0,0,spring,7,51,1,19,213.404,50,2.63,11.232,Zone_C,100.0,main_road,3.93,moderate,clear,32.7,21,35,14,50,2.24,1.0,3.2,101.65,3.1711,101.709,754.15,16.98,39.69,3.53
ROUTE_00028,SCH_003,Private School C,BUS_009,DRV_042,2024-12-21,2024,12,21,5,1,winter,5,14,0,15,204.5,50,3.33,13.633,Zone_D,100.0,main_road,4.69,light,storm,25.2,21,58,5,50,4.18,1.0,3.2,101.65,3.1696,101.7262,763.69,16.07,50.91,3.73
ROUTE_00029,SCH_003,Private School C,BUS_007,DRV_002,2024-04-15,2024,4,15,0,0,spring,6,54,1,11,130.733,50,4.55,11.885,Zone_E,100.0,highway,3.21,moderate,clear,27.0,8,43,11,50,3.79,1.0,3.2,101.65,3.1853,101.7259,274.44,28.58,24.95,2.1
ROUTE_00030,SCH_003,Private School C,BUS_023,DRV_010,2024-04-28,2024,4,28,6,1,spring,6,51,1,8,110.298,50,6.25,13.787,Zone_A,100.0,highway,4.68,moderate,cloudy,27.7,20,32,10,50,4.4,1.0,3.2,101.65,3.1769,101.7,190.69,34.7,23.84,1.73
ROUTE_00031,SCH_002,National School B,BUS_013,DRV_043,2024-02-06,2024,2,6,1,0,winter,5,44,0,10,139.185,50,5.0,13.919,Zone_B,100.0,main_road,4.7,light,clear,26.0,9,63,1,50,4.66,1.0,3.12,101.7,3.1421,101.703,304.99,27.38,30.5,2.19
ROUTE_00032,SCH_001,International School A,BUS_022,DRV_011,2024-10-12,2024,10,12,5,1,monsoon,7,17,1,6,83.852,41,6.83,13.975,Zone_C,100.0,highway,4.15,heavy,clear,26.1,21,45,12,50,2.91,0.82,3.15,101.68,3.2017,101.7121,269.03,18.7,44.84,3.21
ROUTE_00033,SCH_002,National School B,BUS_002,DRV_031,2024-11-27,2024,11,27,2,0,monsoon,5,17,0,10,126.465,50,5.0,12.647,Zone_D,100.0,main_road,3.38,moderate,light_rain,29.7,21,56,10,50,3.23,1.0,3.12,101.7,3.1805,101.6738,478.7,15.85,47.87,3.79
ROUTE_00034,SCH_003,Private School C,BUS_015,DRV_039,2024-01-16,2024,1,16,1,0,winter,6,52,1,19,296.484,50,2.63,15.604,Zone_E,100.0,main_road,3.96,moderate,clear,22.5,19,36,14,50,2.2,1.0,3.2,101.65,3.1911,101.6981,1015.66,17.51,53.46,3.43
ROUTE_00035,SCH_002,National School B,BUS_018,DRV_001,2024-01-11,2024,1,11,3,0,winter,5,42,0,7,67.507,47,6.71,9.644,Zone_A,100.0,main_road,2.91,light,clear,22.5,7,54,8,50,2.3,0.94,3.12,101.7,3.1984,101.7043,163.34,24.8,23.33,2.42
ROUTE_00036,SCH_001,International School A,BUS_014,DRV_021,2024-10-09,2024,10,9,2,0,monsoon,6,56,1,6,67.224,40,6.67,11.204,Zone_B,100.0,highway,3.05,congested,cloudy,28.0,23,40,6,50,3.82,0.8,3.15,101.68,3.1944,101.6777,260.8,15.47,43.47,3.88
ROUTE_00037,SCH_001,International School A,BUS_019,DRV_047,2024-09-21,2024,9,21,5,1,monsoon,5,21,0,9,102.826,50,5.56,11.425,Zone_C,100.0,local_road,4.19,light,cloudy,32.3,13,35,2,50,2.97,1.0,3.15,101.68,3.1515,101.6756,326.44,18.9,36.27,3.17
ROUTE_00038,SCH_003,Private School C,BUS_015,DRV_018,2024-07-11,2024,7,11,3,0,summer,6,54,1,10,143.796,50,5.0,14.38,Zone_D,100.0,local_road,2.7,free_flow,clear,33.2,24,33,3,50,3.95,1.0,3.2,101.65,3.1902,101.6984,443.73,19.44,44.37,3.09
ROUTE_00039,SCH_002,National School B,BUS_029,DRV_034,2024-07-27,2024,7,27,5,1,summer,5,34,0,13,177.865,50,3.85,13.682,Zone_E,100.0,local_road,4.94,free_flow,clear,31.4,18,31,6,50,3.52,1.0,3.12,101.7,3.2086,101.6972,380.68,28.03,29.28,2.14
ROUTE_00040,SCH_002,National School B,BUS_014,DRV_022,2024-03-29,2024,3,29,4,0,spring,6,28,1,8,99.089,37,4.62,12.386,Zone_A,100.0,main_road,4.97,moderate,storm,30.8,1,28,0,50,4.57,0.74,3.12,101.7,3.1752,101.722,517.86,11.48,64.73,5.23
ROUTE_00041,SCH_002,National School B,BUS_005,DRV_033,2024-01-09,2024,1,9,1,0,winter,5,11,0,14,180.809,50,3.57,12.915,Zone_B,100.0,local_road,3.1,free_flow,clear,23.2,17,48,8,50,2.02,1.0,3.12,101.7,3.1375,101.6907,535.48,20.26,38.25,2.96
ROUTE_00042,SCH_001,International School A,BUS_010,DRV_011,2024-07-21,2024,7,21,6,1,summer,6,17,1,11,154.629,50,4.55,14.057,Zone_C,100.0,highway,2.85,moderate,cloudy,35.5,6,32,7,50,4.22,1.0,3.15,101.68,3.1541,101.6845,338.15,27.44,30.74,2.19
ROUTE_00043,SCH_001,International School A,BUS_025,DRV_032,2024-10-20,2024,10,20,6,1,monsoon,6,45,1,6,69.966,43,7.17,11.661,Zone_D,100.0,local_road,3.1,light,light_rain,30.9,10,50,10,50,4.38,0.86,3.15,101.68,3.1458,101.7154,338.12,12.42,56.35,4.83
ROUTE_00044,SCH_002,National School B,BUS_005,DRV_004,2024-10-15,2024,10,15,1,0,monsoon,7,17,1,19,218.814,50,2.63,11.517,Zone_E,100.0,main_road,4.45,moderate,clear,25.5,2,26,6,50,4.96,1.0,3.12,101.7,3.1753,101.6984,769.28,17.07,40.49,3.52
ROUTE_00045,SCH_001,International School A,BUS_014,DRV_004,2024-01-10,2024,1,10,2,0,winter,7,59,1,7,97.365,50,7.14,13.909,Zone_A,100.0,highway,2.82,free_flow,light_rain,22.5,19,48,4,50,3.55,1.0,3.15,101.68,3.162,101.6819,165.29,35.34,23.61,1.7
ROUTE_00046,SCH_001,International School A,BUS_030,DRV_018,2024-04-08,2024,4,8,0,0,spring,5,0,0,19,233.434,50,2.63,12.286,Zone_B,100.0,main_road,4.41,free_flow,light_rain,26.3,6,61,2,50,2.88,1.0,3.15,101.68,3.1483,101.7045,510.52,27.43,26.87,2.19
ROUTE_00047,SCH_002,National School B,BUS_025,DRV_031,2024-10-26,2024,10,26,5,1,monsoon,7,32,1,10,128.855,50,5.0,12.886,Zone_C,100.0,residential,3.49,light,light_rain,25.0,14,57,8,50,2.85,1.0,3.12,101.7,3.1848,101.7053,778.29,9.93,77.83,6.04
ROUTE_00048,SCH_001,International School A,BUS_026,DRV_033,2024-08-02,2024,8,2,4,0,summer,6,41,1,11,139.763,50,4.55,12.706,Zone_D,100.0,main_road,3.35,light,clear,32.7,3,63,14,50,4.66,1.0,3.15,101.68,3.1686,101.7002,456.16,18.38,41.47,3.26
ROUTE_00049,SCH_002,National School B,BUS_022,DRV_006,2024-08-16,2024,8,16,4,0,summer,7,3,1,16,207.221,50,3.12,12.951,Zone_E,100.0,local_road,4.3,heavy,clear,30.2,14,46,5,50,3.46,1.0,3.12,101.7,3.1563,101.7027,1204.53,10.32,75.28,5.81
ROUTE_00050,SCH_002,National School B,BUS_029,DRV_021,2024-04-13,2024,4,13,5,1,spring,5,12,0,9,132.543,50,5.56,14.727,Zone_A,100.0,highway,2.54,light,heavy_rain,30.0,5,45,3,50,3.5,1.0,3.12,101.7,3.1775,101.7001,248.38,32.02,27.6,1.87
ROUTE_00051,SCH_003,Private School C,BUS_011,DRV_012,2024-01-25,2024,1,25,3,0,winter,6,31,1,14,206.017,50,3.57,14.716,Zone_B,100.0,residential,4.51,heavy,cloudy,24.4,15,55,4,50,2.6,1.0,3.2,101.65,3.1777,101.6941,1690.86,7.31,120.78,8.21
ROUTE_00052,SCH_002,National School B,BUS_012,DRV_033,2024-08-01,2024,8,1,3,0,summer,7,22,1,15,186.615,50,3.33,12.441,Zone_C,100.0,highway,3.87,moderate,cloudy,30.6,15,30,14,50,4.48,1.0,3.12,101.7,3.1728,101.6791,437.52,25.59,29.17,2.34
ROUTE_00053,SCH_001,International School A,BUS_018,DRV_031,2024-09-13,2024,9,13,4,0,monsoon,7,32,1,18,242.917,50,2.78,13.495,Zone_D,100.0,highway,3.99,moderate,storm,28.4,22,58,6,50,2.28,1.0,3.15,101.68,3.1892,101.7035,1051.2,13.87,58.4,4.33
ROUTE_00054,SCH_003,Private School C,BUS_026,DRV_001,2024-07-30,2024,7,30,1,0,summer,6,43,1,16,173.835,50,3.12,10.865,Zone_E,100.0,main_road,3.26,moderate,cloudy,35.8,14,60,11,50,2.21,1.0,3.2,101.65,3.2094,101.6943,607.85,17.16,37.99,3.5
ROUTE_00055,SCH_002,National School B,BUS_004,DRV_020,2024-02-08,2024,2,8,3,0,winter,6,35,1,8,102.973,50,6.25,12.872,Zone_A,100.0,highway,3.07,moderate,light_rain,28.4,21,43,11,50,4.71,1.0,3.12,101.7,3.182,101.6945,258.63,23.89,32.33,2.51
ROUTE_00056,SCH_003,Private School C,BUS_016,DRV_012,2024-06-15,2024,6,15,5,1,summer,6,18,1,18,240.079,50,2.78,13.338,Zone_B,100.0,highway,3.84,heavy,clear,37.4,13,41,2,50,3.53,1.0,3.2,101.65,3.1663,101.7239,551.48,26.12,30.64,2.3
ROUTE_00057,SCH_001,International School A,BUS_014,DRV_012,2024-09-30,2024,9,30,0,0,monsoon,7,13,1,6,54.691,42,7.0,9.115,Zone_C,100.0,residential,4.48,light,fog,24.8,20,40,10,50,4.03,0.84,3.15,101.68,3.1551,101.7351,375.13,8.75,62.52,6.86
ROUTE_00058,SCH_002,National School B,BUS_027,DRV_008,2024-04-03,2024,4,3,2,0,spring,6,14,1,11,134.29,50,4.55,12.208,Zone_D,100.0,main_road,3.59,heavy,clear,27.0,2,26,9,50,2.55,1.0,3.12,101.7,3.1467,101.7114,688.41,11.7,62.58,5.13
ROUTE_00059,SCH_001,International School A,BUS_022,DRV_013,2024-12-27,2024,12,27,4,0,winter,7,3,1,19,250.823,50,2.63,13.201,Zone_E,100.0,local_road,3.61,moderate,clear,27.4,22,55,4,50,2.57,1.0,3.15,101.68,3.1693,101.6889,1189.1,12.66,62.58,4.74
ROUTE_00060,SCH_003,Private School C,BUS_011,DRV_021,2024-09-13,2024,9,13,4,0,monsoon,7,32,1,10,116.119,50,5.0,11.612,Zone_A,100.0,main_road,4.14,moderate,clear,30.6,9,37,12,50,2.32,1.0,3.2,101.65,3.2005,101.7294,402.92,17.29,40.29,3.47
ROUTE_00061,SCH_002,National School B,BUS_018,DRV_003,2024-03-12,2024,3,12,1,0,spring,5,41,0,17,234.307,50,2.94,13.783,Zone_B,100.0,main_road,3.76,light,cloudy,27.2,2,57,7,50,4.54,1.0,3.12,101.7,3.1589,101.6901,579.35,24.27,34.08,2.47
ROUTE_00062,SCH_003,Private School C,BUS_011,DRV_002,2024-07-21,2024,7,21,6,1,summer,6,20,1,11,140.851,50,4.55,12.805,Zone_C,100.0,main_road,4.39,heavy,clear,32.8,24,46,12,50,4.44,1.0,3.2,101.65,3.2004,101.7058,590.97,14.3,53.72,4.2
ROUTE_00063,SCH_003,Private School C,BUS_011,DRV_035,2024-09-16,2024,9,16,0,0,monsoon,5,30,0,17,216.616,50,2.94,12.742,Zone_D,100.0,local_road,4.88,light,light_rain,29.0,12,59,12,50,3.31,1.0,3.2,101.65,3.1913,101.7026,948.09,13.71,55.77,4.38
ROUTE_00064,SCH_002,National School B,BUS_028,DRV_026,2024-06-14,2024,6,14,4,0,summer,6,46,1,5,64.004,31,6.2,12.801,Zone_E,100.0,main_road,3.06,moderate,clear,35.5,17,48,2,50,2.31,0.62,3.12,101.7,3.1917,101.7048,187.56,20.47,37.51,2.93
ROUTE_00065,SCH_003,Private School C,BUS_006,DRV_005,2024-04-10,2024,4,10,2,0,spring,6,47,1,5,56.935,25,5.0,11.387,Zone_A,100.0,residential,4.66,heavy,clear,31.4,23,39,0,50,2.37,0.5,3.2,101.65,3.2043,101.7166,363.36,9.4,72.67,6.38
ROUTE_00066,SCH_001,International School A,BUS_017,DRV_007,2024-05-30,2024,5,30,3,0,spring,6,53,1,13,154.309,50,3.85,11.87,Zone_B,100.0,main_road,3.49,congested,clear,24.1,17,40,3,50,3.71,1.0,3.15,101.68,3.1956,101.7227,758.69,12.2,58.36,4.92
ROUTE_00067,SCH_003,Private School C,BUS_018,DRV_017,2024-03-06,2024,3,6,2,0,spring,6,22,1,13,136.885,50,3.85,10.53,Zone_C,100.0,main_road,4.84,moderate,clear,31.9,18,61,13,50,2.69,1.0,3.2,101.65,3.1673,101.7132,504.33,16.29,38.79,3.68
ROUTE_00068,SCH_001,International School A,BUS_024,DRV_050,2024-03-20,2024,3,20,2,0,spring,5,5,0,15,185.234,50,3.33,12.349,Zone_D,100.0,main_road,4.36,light,light_rain,27.9,4,32,10,50,3.01,1.0,3.15,101.68,3.1447,101.6889,540.52,20.56,36.03,2.92
ROUTE_00069,SCH_001,International School A,BUS_004,DRV_008,2024-09-03,2024,9,3,1,0,monsoon,5,32,0,19,232.032,50,2.63,12.212,Zone_E,100.0,main_road,4.48,light,clear,28.4,9,51,4,50,4.04,1.0,3.15,101.68,3.1966,101.695,495.46,28.1,26.08,2.14
ROUTE_00070,SCH_003,Private School C,BUS_023,DRV_038,2024-02-12,2024,2,12,0,0,winter,7,56,1,14,181.828,50,3.57,12.988,Zone_A,100.0,main_road,2.59,moderate,cloudy,26.5,15,47,1,50,4.43,1.0,3.2,101.65,3.191,101.7033,565.84,19.28,40.42,3.11
ROUTE_00071,SCH_001,International School A,BUS_026,DRV_006,2024-11-06,2024,11,6,2,0,monsoon,6,6,1,11,137.063,50,4.55,12.46,Zone_B,100.0,main_road,3.14,moderate,light_rain,27.7,21,40,4,50,2.69,1.0,3.15,101.68,3.1495,101.6775,532.89,15.43,48.44,3.89
ROUTE_00072,SCH_002,National School B,BUS_008,DRV_050,2024-04-25,2024,4,25,3,0,spring,6,44,1,17,209.38,50,2.94,12.316,Zone_C,100.0,residential,3.48,light,clear,30.0,20,64,12,50,4.06,1.0,3.12,101.7,3.163,101.7025,1060.82,11.84,62.4,5.07
ROUTE_00073,SCH_001,International School A,BUS_003,DRV_048,2024-07-06,2024,7,6,5,1,summer,5,45,0,10,142.011,50,5.0,14.201,Zone_D,100.0,local_road,4.96,free_flow,clear,32.2,12,33,5,50,3.19,1.0,3.15,101.68,3.1817,101.7012,324.95,26.22,32.49,2.29
ROUTE_00074,SCH_001,International School A,BUS_009,DRV_026,2024-12-28,2024,12,28,5,1,winter,5,13,0,12,114.421,50,4.17,9.535,Zone_E,100.0,local_road,3.91,free_flow,clear,25.3,17,58,13,50,4.98,1.0,3.15,101.68,3.1947,101.7026,325.92,21.06,27.16,2.85
ROUTE_00075,SCH_001,International School A,BUS_005,DRV_019,2024-03-29,2024,3,29,4,0,spring,7,3,1,8,113.085,50,6.25,14.136,Zone_A,100.0,local_road,3.59,moderate,clear,30.9,11,29,9,50,2.87,1.0,3.15,101.68,3.1784,101.7018,479.64,14.15,59.96,4.24
ROUTE_00076,SCH_002,National School B,BUS_026,DRV_044,2024-12-22,2024,12,22,6,1,winter,7,3,1,8,89.648,50,6.25,11.206,Zone_B,100.0,main_road,4.56,moderate,cloudy,26.1,22,32,0,50,2.57,1.0,3.12,101.7,3.2344,101.7355,262.65,20.48,32.83,2.93
ROUTE_00077,SCH_002,National School B,BUS_024,DRV_040,2024-10-20,2024,10,20,6,1,monsoon,7,23,1,16,231.009,50,3.12,14.438,Zone_C,100.0,local_road,2.77,free_flow,clear,27.9,4,44,14,50,3.05,1.0,3.12,101.7,3.1759,101.7048,965.15,14.36,60.32,4.18
ROUTE_00078,SCH_002,National School B,BUS_002,DRV_040,2024-12-23,2024,12,23,0,0,winter,6,38,1,10,110.194,50,5.0,11.019,Zone_D,100.0,residential,4.51,light,clear,24.8,13,34,7,50,2.67,1.0,3.12,101.7,3.1695,101.6909,529.88,12.48,52.99,4.81
ROUTE_00079,SCH_003,Private School C,BUS_010,DRV_044,2024-10-12,2024,10,12,5,1,monsoon,6,9,1,12,165.379,50,4.17,13.782,Zone_E,100.0,main_road,2.54,heavy,clear,29.7,14,53,1,50,4.34,1.0,3.2,101.65,3.1664,101.7067,649.78,15.27,54.15,3.93
ROUTE_00080,SCH_002,National School B,BUS_008,DRV_037,2024-09-18,2024,9,18,2,0,monsoon,5,35,0,16,196.891,50,3.12,12.306,Zone_A,100.0,main_road,3.9,light,storm,30.6,14,61,6,50,4.73,1.0,3.12,101.7,3.1899,101.714,745.77,15.84,46.61,3.79
ROUTE_00081,SCH_001,International School A,BUS_020,DRV_047,2024-01-18,2024,1,18,3,0,winter,7,37,1,10,129.901,50,5.0,12.99,Zone_B,100.0,main_road,3.33,moderate,cloudy,25.5,19,50,9,50,2.5,1.0,3.15,101.68,3.1671,101.7047,477.55,16.32,47.75,3.68
ROUTE_00082,SCH_002,National School B,BUS_010,DRV_009,2024-07-29,2024,7,29,0,0,summer,6,48,1,15,187.576,50,3.33,12.505,Zone_C,100.0,local_road,3.07,light,clear,31.7,14,57,14,50,4.16,1.0,3.12,101.7,3.1663,101.7102,817.63,13.76,54.51,4.36
ROUTE_00083,SCH_002,National School B,BUS_029,DRV_039,2024-01-23,2024,1,23,1,0,winter,6,12,1,11,147.964,50,4.55,13.451,Zone_D,100.0,main_road,3.3,light,clear,28.3,15,48,4,50,3.52,1.0,3.12,101.7,3.1413,101.6688,399.38,22.23,36.31,2.7
ROUTE_00084,SCH_001,International School A,BUS_015,DRV_022,2024-06-05,2024,6,5,2,0,summer,6,36,1,8,99.276,50,6.25,12.409,Zone_E,100.0,local_road,3.71,congested,light_rain,31.6,6,31,10,50,4.46,1.0,3.15,101.68,3.1696,101.7033,931.78,6.39,116.47,9.39
ROUTE_00085,SCH_003,Private School C,BUS_009,DRV_010,2024-11-12,2024,11,12,1,0,monsoon,7,17,1,7,142.06,50,7.14,20.294,Zone_A,100.0,main_road,3.78,heavy,heavy_rain,31.1,16,46,10,50,4.68,1.0,3.2,101.65,3.1828,101.6969,910.28,9.36,130.04,6.41
ROUTE_00086,SCH_002,National School B,BUS_023,DRV_045,2024-06-20,2024,6,20,3,0,summer,7,4,1,11,128.91,50,4.55,11.719,Zone_B,100.0,main_road,2.84,heavy,clear,33.3,22,64,10,50,4.37,1.0,3.12,101.7,3.1665,101.6895,583.87,13.25,53.08,4.53
ROUTE_00087,SCH_003,Private School C,BUS_015,DRV_024,2024-02-29,2024,2,29,3,0,winter,7,20,1,13,199.444,50,3.85,15.342,Zone_C,100.0,residential,4.83,moderate,clear,22.9,16,44,6,50,3.96,1.0,3.2,101.65,3.1767,101.7221,1201.74,9.96,92.44,6.03
